Country,Sector,Product CN Code,Description,Default Value (direct emissions),Default Value (Indirect emissions),Default Value (total emissions),2026 Default Value (Including mark-up),2027 Default Value (Including mark-up),2028 Default Value (Including mark-up),Underlying production route determining CBAM BM
New Zealand,Iron and steel,730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excl. products of stainless steel or of cast iron)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,73042200,"Drill pipe, seamless, of stainless steel, of a kind used in drilling for oil or gas",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,73042300,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excl. products of stainless steel or of cast iron)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,73042400,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,730429,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excl. products of cast iron)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,730431,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used for drilling for oil or gas)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,730439,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products, line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,73044100,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,730449,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines or of a kind used for drilling for oil or gas)",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,730451,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)",2.36,,2.36,2.596,2.832,3.068,(F)
New Zealand,Iron and steel,730459,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)",2.36,,2.36,2.596,2.832,3.068,(C)/(F)
New Zealand,Iron and steel,73049000,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel (excl. products of cast iron)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,7305,"Tubes and pipes, having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel ""e.g., welded, riveted or similarly closed""",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,7306,"Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406,4 mm)",,,,see below,see below,see below, 
New Zealand,Iron and steel,73061100,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,73061900,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,73062100,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,73062900,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,73063012,"Precision tubes, welded, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced""",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,73063018,"Precision tubes, welded, of circular cross-section, of iron or non-alloy steel (excl. cold-drawn or cold-rolled)",2.42,,2.42,2.662,2.904,3.146, 
New Zealand,Iron and steel,73063041,"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel, plated or coated with zinc",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,73063049,"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel (excl. products plated or coated with zinc)",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,73063072,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel, of an external diameter of <= 168,3 mm, plated or coated with zinc (excl. line pipe of a kind used for oil or gas pipelines or casing and tubingof a kind used in drilling for oil or gas)",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,73063077,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel of an external diameter of <= 168,3 mm (excl. plated or coated with zinc and line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used in drilling for oil or gas, precision tubes and threaded or threadable tubes ""gas pipe"")",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,73063080,"Tubes, pipes and hollow profiles, welded, having a circular cross-section, of iron or steel, of an external diameter of > 168,3 mm but <= 406,4 mm (excl. line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, or precision steel tubes, electrical conduit tubes or threaded or threadable tubes ""gas pipe"")",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,73064020,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. products having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,73064080,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excl. products cold-drawn or cold-rolled ""cold-reduced"", tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,73065021,"Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced""",2.41,,2.41,2.651,2.892,3.133,(F)
New Zealand,Iron and steel,73065029,"Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless (excl. cold-drawn or cold-rolled)",2.4,,2.4,2.64,2.88,3.12,(F)
New Zealand,Iron and steel,73065080,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of alloy steel other than stainless (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and precision steel tubes)",2.41,,2.41,2.651,2.892,3.133,(F)
New Zealand,Iron and steel,73066110,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of stainless steel",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,73066192,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of <= 2 mm",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,73066199,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of > 2 mm",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,73066910,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section)",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,73066990,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of iron or steel other than stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section)",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,73069000,"Tubes, pipes and hollow profiles ""e.g., open seam, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless or welded tubes and pipes and tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm)",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,7307,"Tube or pipe fittings ""e.g. couplings, elbows, sleeves"", of iron or steel",,,,see below,see below,see below, 
New Zealand,Iron and steel,730711,Tube or pipe fittings of non-malleable cast iron,2.31,,2.31,2.541,2.772,3.003, 
New Zealand,Iron and steel,73071910,Tube or pipe fittings of cast iron (excl. of non-malleable),2.31,,2.31,2.541,2.772,3.003, 
New Zealand,Iron and steel,73071990,Cast tube or pipe fittings of steel,2.41,,2.41,2.651,2.892,3.133,
New Zealand,Iron and steel,73072100,Flanges of stainless steel (excl. cast products),2.82,,2.82,3.102,3.384,3.666, 
New Zealand,Iron and steel,730722,"Threaded elbows, bends and sleeves of stainless steel (excl. cast products)",2.82,,2.82,3.102,3.384,3.666, 
New Zealand,Iron and steel,730723,Butt welding tube or pipe fittings of stainless steel (excl. cast products),2.82,,2.82,3.102,3.384,3.666, 
New Zealand,Iron and steel,730729,"Tube or pipe fittings of stainless steel (excl. cast products, flanges, threaded elbows, bends and sleeves and butt weldings fittings)",2.82,,2.82,3.102,3.384,3.666, 
New Zealand,Iron and steel,73079100,Flanges of iron or steel (excl. cast or stainless products),2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,730792,"Threaded elbows, bends and sleeves, of stainless steel (excl. cast or stainless products)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,730793,"Butt welding fittings of iron or steel (excl. cast iron or stainless steel products, and flanges)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,730799,"Tube or pipe fittings, of iron or steel (excl. cast iron or stainless steel products; flanges; threaded elbows, bends and sleeves; butt welding fittings)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,7308,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)",2.9,,2.9,3.19,3.48,3.77,(C)
New Zealand,Iron and steel,7309,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of > 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated (excl. containers specifically constructed or equipped for one or more types of transport)",3.04,,3.04,3.344,3.648,3.952,(C)
New Zealand,Iron and steel,7310,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of <= 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated, n.e.s.",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,7311,"Containers of iron or steel, for compressed or liquefied gas (excl. containers specifically constructed or equipped for one or more types of transport)",,,,see below,see below,see below, 
New Zealand,Iron and steel,731100,"Containers of iron or steel, for compressed or liquefied gas (excl. containers specifically constructed or equipped for one or more types of transport)",3.02,,3.02,3.322,3.624,3.926,(C)
New Zealand,Iron and steel,7318,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. spring washers, and similar articles, of iron or steel (excl. lag screws, stoppers, plugs and the like, threaded)",,,,see below,see below,see below, 
New Zealand,Iron and steel,73181100,Coach screws of iron or steel,2.41,,2.41,2.651,2.892,3.133,(C)
